index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
695,ghsl_9558_cell_00695,Commercial,Residential,0.8284,0.0245,0.8039,Residentialx4
18,ghsl_9558_cell_00018,Residential,Industrial,0.8118,0.0269,0.7849,Industrialx2
42,ghsl_9558_cell_00042,Office,Residential,0.8118,0.0269,0.7849,Residentialx4
112,ghsl_9558_cell_00112,Civic,Residential,0.8118,0.0269,0.7849,Residentialx4
135,ghsl_9558_cell_00135,Residential,Civic,0.8118,0.0269,0.7849,Civicx2
214,ghsl_9558_cell_00214,Industrial,Residential,0.8118,0.0269,0.7849,Residentialx2
458,ghsl_9558_cell_00458,Industrial,Residential,0.8118,0.0269,0.7849,Residentialx4
938,ghsl_9558_cell_00938,Civic,Residential,0.8118,0.0269,0.7849,Residentialx2
1004,ghsl_9558_cell_01004,Civic,Industrial,0.8118,0.0269,0.7849,Industrialx2
47,ghsl_9558_cell_00047,Civic,Residential,0.8009,0.0284,0.7725,Residentialx3
849,ghsl_9558_cell_00849,Commercial,Residential,0.8009,0.0284,0.7725,Residentialx3
263,ghsl_9558_cell_00263,Civic,Residential,0.7995,0.0286,0.7708,Residentialx4
308,ghsl_9558_cell_00308,Commercial,Residential,0.7995,0.0286,0.7708,Residentialx4
313,ghsl_9558_cell_00313,Civic,Residential,0.7995,0.0286,0.7708,Residentialx4
836,ghsl_9558_cell_00836,Commercial,Residential,0.7995,0.0286,0.7708,Residentialx4
915,ghsl_9558_cell_00915,Industrial,Residential,0.7995,0.0286,0.7708,Residentialx4
489,ghsl_9558_cell_00489,Civic,Residential,0.7828,0.031,0.7518,Residentialx4
101,ghsl_9558_cell_00101,Civic,Residential,0.7582,0.0345,0.7237,Residentialx3
780,ghsl_9558_cell_00780,Residential,Office,0.7582,0.0345,0.7237,Officex3
92,ghsl_9558_cell_00092,Civic,Residential,0.7539,0.0352,0.7187,Residentialx4
486,ghsl_9558_cell_00486,Civic,Residential,0.7539,0.0352,0.7187,Residentialx4
515,ghsl_9558_cell_00515,Civic,Residential,0.7539,0.0352,0.7187,Residentialx4
440,ghsl_9558_cell_00440,Industrial,Residential,0.7372,0.0375,0.6997,Residentialx2
706,ghsl_9558_cell_00706,Industrial,Residential,0.7372,0.0375,0.6997,Residentialx2
343,ghsl_9558_cell_00343,Commercial,Residential,0.7367,0.0376,0.699,Residentialx3
414,ghsl_9558_cell_00414,Civic,Residential,0.7367,0.0376,0.699,Residentialx3
2,ghsl_9558_cell_00002,Civic,Residential,0.7341,0.038,0.6961,Residentialx1
77,ghsl_9558_cell_00077,Civic,Residential,0.7341,0.038,0.6961,Residentialx1
118,ghsl_9558_cell_00118,Industrial,Residential,0.715,0.0356,0.6794,"Residentialx3, Utilityx1"
954,ghsl_9558_cell_00954,Commercial,Office,0.715,0.0356,0.6794,"Officex3, Residentialx1"
538,ghsl_9558_cell_00538,Civic,Industrial,0.7062,0.0352,0.671,"Industrialx3, Residentialx1"
558,ghsl_9558_cell_00558,Commercial,Residential,0.7062,0.0352,0.671,"Residentialx3, Officex1"
348,ghsl_9558_cell_00348,Industrial,Residential,0.6973,0.0347,0.6626,"Residentialx3, Commercialx1"
752,ghsl_9558_cell_00752,Residential,Industrial,0.6973,0.0347,0.6626,"Industrialx3, Officex1"
759,ghsl_9558_cell_00759,Residential,Civic,0.715,0.0714,0.6436,"Civicx3, Residentialx1"
899,ghsl_9558_cell_00899,Utility,Residential,0.6694,0.0421,0.6273,"Residentialx3, Commercialx1"
942,ghsl_9558_cell_00942,Utility,Residential,0.6673,0.0411,0.6262,"Residentialx3, Officex1"
111,ghsl_9558_cell_00111,Residential,Civic,0.7062,0.0829,0.6233,"Civicx3, Residentialx1"
145,ghsl_9558_cell_00145,Industrial,Residential,0.7062,0.0829,0.6233,"Residentialx3, Industrialx1"
853,ghsl_9558_cell_00853,Civic,Residential,0.7062,0.0829,0.6233,"Residentialx3, Civicx1"
248,ghsl_9558_cell_00248,Civic,Residential,0.6585,0.0406,0.6178,"Residentialx3, Industrialx1"
726,ghsl_9558_cell_00726,Industrial,Residential,0.6585,0.0406,0.6178,"Residentialx3, Utilityx1"
871,ghsl_9558_cell_00871,Utility,Residential,0.6585,0.0406,0.6178,"Residentialx3, Civicx1"
93,ghsl_9558_cell_00093,Residential,Civic,0.6627,0.0482,0.6145,Civicx2
113,ghsl_9558_cell_00113,Residential,Civic,0.6627,0.0482,0.6145,Civicx2
114,ghsl_9558_cell_00114,Civic,Residential,0.6627,0.0482,0.6145,Residentialx2
350,ghsl_9558_cell_00350,Industrial,Residential,0.6496,0.0402,0.6094,"Residentialx3, Commercialx1"
352,ghsl_9558_cell_00352,Utility,Residential,0.6496,0.0402,0.6094,"Residentialx3, Commercialx1"
405,ghsl_9558_cell_00405,Office,Residential,0.6496,0.0402,0.6094,"Residentialx3, Commercialx1"
